indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0089,,"Sebastian Junger, PTSD, and 500 Nations",Rich Wandschneider,2016-07-13,"Blog entry from July 13, 2016",PTSD;Tribe;500 nations;Alvin Josephy;Sebastian Junger,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/sebastian-junger-ptsd-and-500-nations.html,record,url,eng,,
josephy0090,,Happy Fourth of July,Rich Wandschneider,2016-07-02,"Blog entry from July 2, 2016",4th of July;Alice Flether;Dawes Act;religious crimes code;Assimilationists;Henry Teller;Office of Indian Affairs,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/happy-fourth-of-july.html,record,url,eng,,
josephy0091,,"Western History, 1960-1980",Rich Wandschneider,2016-06-23,"Blog entry from June 23, 2016",Counterpoint Press;Pam Royes;Elliott Bay Books;Temperance Creek;Wallowa County;Powell's;Snake River,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/06/western-history-1960-1980.html,record,url,eng,,
josephy0092,,Eske Willeslev: Listening to science; listening with science,Rich Wandschneider,2016-06-10,"Blog entry from June 10, 2016",Center for GeoGenetics;NAGPRA;Kennewick Man;Eske Willeslev;Ancient One,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/06/eske-willeslev-listening-to-science.html,record,url,eng,,
josephy0093,,"Geneticists, Linguists, and American Indians",Rich Wandschneider,2016-05-28,"Blog entry from May 28, 2016",Alvin Josephy;Native American languages;African American DNA;Smithsonian;Indian DNA;John W. Powell,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/geneticists-linguists-and-american.html,record,url,eng,,
josephy0094,,"Loving the Game, the Rez Game",Rich Wandschneider,2016-05-12,"Blog entry from May 12, 2016",Baron Davis;Shoni Schimmel;Nixyaawii;Indian Country Today;umatilla reservation;Drew League. Golden State Warriors,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/loving-game-rez-game.html,record,url,eng,,
josephy0095,,Westerner,Rich Wandschneider,2016-05-04,"Blog entry from May 4, 2016",Wallowa Country;Wallowa County;The Westerner;Walter Brennan;Eugene Pallette;Oregon;Joseph;Chief Joseph Days;Gary Cooper,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/05/westerner.html,record,url,eng,,
josephy0096,,Life on Joseph Creek,Rich Wandschneider,2016-04-21,"Blog entry from April 21, 2016",Charles Mann;Joseph Creek;Alvin Josephy;Snake River Country;Wallowa Country;Nez Perce;Joseph Canyon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/04/life-on-joseph-creek.html,record,url,eng,,
josephy0097,,Another painting/statue/book of Chief Joseph?,Rich Wandschneider,2016-04-01,"Blog entry from April 1, 2016",Cliff Trafzer;John Fouch;Alvin Josephy;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/04/another-paintingstatuebook-of-chief.html,record,url,eng,,
josephy0098,,A Longhouse in the Wallowas,Rich Wandschneider,2016-03-10,"Blog entry from March 10, 2016",Homeland Project;Joseph Band;Plateau Indian;Wallowa;seven drums;Indian religion;Nez Perce;Chief Joseph;longhouse,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/03/a-longhouse-in-wallowas.html,record,url,eng,,
josephy0099,,First Foods,Rich Wandschneider,2016-02-29,"Blog entry from February 29, 2016",Iowa cornfields;Flint;Iowa water;First Foods;Alvin Josephy;Michigan;Umatilla Confederated Tribes,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/first-foods.html,record,url,eng,,
josephy0100,,"The Pope, Chiapas, and Father Serra",Rich Wandschneider,2016-02-15,"Blog entry from February 15, 2016",Rupert Costo;Chiapas;Mayan Indians;pope francis;California Indians;Father Serra,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/the-pope-chiapas-and-father-serra.html,record,url,eng,,
josephy0101,,Thinking like a Paiute,Rich Wandschneider,2016-02-11,"Blog entry from February 11, 2016",Harney County;Klamath accord;Malheur;Paiute forestry;Greeley;Pinchot,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/02/thinking-like-paiute.html,record,url,eng,,
josephy0102,,The land owns the Paiutes,Rich Wandschneider,2016-01-28,"Blog entry from January 28, 2016",Paiute;Alvin Josephy;Malheur;Nez Perce;reservations,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/the-land-owns-paiutes.html,record,url,eng,,
josephy0103,,It's Martin Luther King Day,Rich Wandschneider,2016-01-18,"Blog entry from January 18, 2016",Donald Trump;Turks;Vietnam;martin luther king;Burns;Alvin Josephy;President Obama;MLK;Sunnis;Middle East;Diyarbakir;Shiites;Kurds;Alcatraz occupation;Indian Country;Cuba;Iran;Aleppo,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/its-martin-luther-king-day.html,record,url,eng,,
josephy0104,,The Doctrine of Discovery and the Malheur Refuge,Rich Wandschneider,2016-01-12,"Blog entry from January 12, 2016",1493 papal bull;Gilder Lehrman Institute of American History;Malheur Wildlife Refuge;Northern Paiute;Doctrine of Discovery;joint occupancy;Oregon territory;Indian treaties,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/the-doctrine-of-discovery-and-malheur.html,record,url,eng,,
josephy0105,,This is not the year!,Rich Wandschneider,2016-01-04,"Blog entry from January 4, 2016",Metis;Peter Bowen;The Dying Grass;Warmth of other suns;Louis Urrea;us census race;Alvin Josephy;William T. Vollman,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/01/this-is-not-year.html,record,url,eng,,
josephy0106,,Alvin at the Holy Days—Indian Freedom of Religion,Rich Wandschneider,2015-12-24,"Blog entry from December 24, 2015",Blue Mountain Sun Dance;Self determination;Sun Dance;Alvin Josephy;Indian Freedom of Religion Act,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/12/alvin-at-holy-days-indian-freedom-of.html,record,url,eng,,
josephy0107,,year-end report,Rich Wandschneider,2015-12-01,"Blog entry from December 1, 2015",,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/12/year-end-report.html,record,url,eng,,
josephy0108,,The passing of two friends,Rich Wandschneider,2015-11-24,"Blog entry from November 24, 2015",Metis;Rupert Costo;Ray Cook;Hudson's Bay Company;Indian land tenure;Father Serra;John Jackson,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/11/the-passing-of-two-friends.html,record,url,eng,,
josephy0109,,Tooting a horn about a new book,Rich Wandschneider,2015-10-28,"Blog entry from October 28, 2015",Indian history;Cliff Trafzer;Jaime Pinkham;Alvin Josephy;American Indians;Marc Jaffe;Roberta Conner;Mark Trahant,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/10/tooting-horn-about-new-book.html,record,url,eng,,
josephy0110,,"Rupert Costo, the Pope, and my friend Ray",Rich Wandschneider,2015-09-25,"Blog entry from September 25, 2015",California missions;Rupert Costo;Cahuilla;Indian genocide;pope francis;California Indians;Father Serra,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/rupert-costo-pope-and-my-friend-ray.html,record,url,eng,,
josephy0111,,The oldest story—more on refugees,Rich Wandschneider,2015-09-21,"Blog entry from September 21, 2015",Ottomans;Syria;refugees;american immigrants;Romani;migrations;expulsions;Afghanistan;Iraq;indigenous americans,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/the-oldest-story-more-on-refugees.html,record,url,eng,,
josephy0112,,A Babel of languages,Rich Wandschneider,2015-09-10,"Blog entry from September 10, 2015",Charles Mann;John Wesley Powell;human catastrophes;American Indian languages;north american languages;potato famine;Babel;Plague,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/09/a-babel-of-languages.html,record,url,eng,,
josephy0113,,Another Nez Perce Book [2],Rich Wandschneider,2015-08-24,"Blog entry from August 24, 2015",The Dying Grass;Eliza Spalding;Wallowas;Alvin Josephy;Marcus Whitman;Nez Perce;Nez Perce War;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/08/another-nez-perce-book.html,record,url,eng,,
josephy0114,,The Ancient One,Rich Wandschneider,2015-06-30,"Blog entry from June 30, 2015",Nature Magazine;Colville tribes;Kennewick Man;Chatters;Ancient One,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/the-ancient-one.html,record,url,eng,,
josephy0115,,Celebrating the Nez Perce,Rich Wandschneider,2015-06-15,"Blog entry from June 15, 2015",Nez Perce National Park;Grace Bartlett;Alvin Josephy;Wallowa;Lewis and Clark;Nez Perce;Bobbie Conner;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/celebrating-nez-perce.html,record,url,eng,,
josephy0116,,"Alvin Josephy, the Listening Man",Rich Wandschneider,2015-06-04,"Blog entry from June 4, 2015",Nez Perce National Park;Tamastslikt;Cliff Trafzer;Alvin Josephy;Time Magazine;Nez Perce;Bobbie Conner,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/06/alvin-josephy-listening-man.html,record,url,eng,,
josephy0117,,Nez Perce Park turns 50; Alvin Josephy 100,Rich Wandschneider,2015-05-27,"Blog entry from May 27, 2015",Albert Barros;Nez Perce National Park;Joseph Band;Josephy Center;Alvin Josephy;Wallowa Country;Nez Perce;Wallowa Valley Day Camp,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/05/nez-perce-park-turns-50-alvin-josephy.html,record,url,eng,,
josephy0118,,Remembering Ivan Doig,Rich Wandschneider,2015-05-05,"Blog entry from May 5, 2015",Fishtrap;Richard White;Alvin Josephy;Ivan Doig;Pacific Northwest Booksellers,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/05/remembering-ivan-doig.html,record,url,eng,,
josephy0119,,Chief Joseph—Idaho Governor Otter is wrong!,Rich Wandschneider,2015-04-16,"Blog entry from April 16, 2015",Register Guard;Idaho governor;Butch Otter;Chief Joseph statue;Nez Perce;Chief Joseph;Oregon state statues,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/04/chief-joseph-idaho-governor-otter-is.html,record,url,eng,,
josephy0120,,The Custer Myth and Henry Luce,Rich Wandschneider,2015-03-19,"Blog entry from March 19, 2015",Life Magazine;Henry Luce;Alvin Josephy;Ralph Graves;Custer;Custer myth,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/03/the-fourth-of-july-special-american.html,record,url,eng,,
